datetime,EVMOS,
20/05/2023 08:00,0.172577601,
20/05/2023 09:00,0.16961271,
20/05/2023 10:00,0.170402386,
20/05/2023 11:00,0.17037409,
20/05/2023 12:00,0.169356012,
20/05/2023 13:00,0.170974589,
20/05/2023 14:00,0.171499711,
20/05/2023 15:00,0.170912033,
20/05/2023 16:00,0.171997904,
20/05/2023 17:00,0.171812216,
20/05/2023 18:00,0.174975344,
20/05/2023 19:00,0.176294814,
20/05/2023 20:00,0.169783343,
20/05/2023 21:00,0.167040261,
20/05/2023 22:00,0.168706311,
20/05/2023 23:00,0.163475727,
21/05/2023 00:00,0.159601207,
21/05/2023 01:00,0.158618881,
21/05/2023 02:00,0.165539434,
21/05/2023 03:00,0.160367721,
21/05/2023 04:00,0.157717303,
21/05/2023 05:00,0.154627864,
21/05/2023 06:00,0.157519889,
21/05/2023 07:00,0.160615339,
21/05/2023 08:00,0.163417659,
21/05/2023 09:00,0.159468614,
21/05/2023 10:00,0.162053091,
21/05/2023 11:00,0.162269986,
21/05/2023 12:00,0.158648048,
21/05/2023 13:00,0.161191627,
21/05/2023 14:00,0.159656723,
21/05/2023 15:00,0.158536693,
21/05/2023 16:00,0.160015572,
21/05/2023 17:00,0.157776285,
21/05/2023 18:00,0.158541994,
21/05/2023 19:00,0.16049174,
21/05/2023 20:00,0.153059371,
21/05/2023 21:00,0.150913806,
21/05/2023 22:00,0.151454176,
21/05/2023 23:00,0.143153028,
22/05/2023 00:00,0.140551565,
22/05/2023 01:00,0.137977113,
22/05/2023 02:00,0.144638998,
22/05/2023 03:00,0.141289286,
22/05/2023 04:00,0.139126331,
22/05/2023 05:00,0.137084012,
22/05/2023 06:00,0.142756138,
22/05/2023 07:00,0.142191309,
22/05/2023 08:00,0.147327598,
22/05/2023 09:00,0.147697058,
22/05/2023 10:00,0.148233791,
22/05/2023 11:00,0.149812119,
22/05/2023 12:00,0.14756302,
22/05/2023 13:00,0.147268033,
22/05/2023 14:00,0.148338166,
22/05/2023 15:00,0.152146593,
22/05/2023 16:00,0.151618117,
22/05/2023 17:00,0.149737689,
22/05/2023 18:00,0.153283562,
22/05/2023 19:00,0.149923874,
22/05/2023 20:00,0.14701186,
22/05/2023 21:00,0.14364576,
22/05/2023 22:00,0.144646934,
22/05/2023 23:00,0.137677972,
23/05/2023 00:00,0.134116926,
23/05/2023 01:00,0.131922996,
23/05/2023 02:00,0.137355481,
23/05/2023 03:00,0.134110369,
23/05/2023 04:00,0.132686447,
23/05/2023 05:00,0.135634238,
23/05/2023 06:00,0.141547672,
23/05/2023 07:00,0.143859863,
23/05/2023 08:00,0.146209562,
23/05/2023 09:00,0.146820506,
23/05/2023 10:00,0.147898369,
23/05/2023 11:00,0.149023218,
23/05/2023 12:00,0.147328334,
23/05/2023 13:00,0.148949374,
23/05/2023 14:00,0.15052666,
23/05/2023 15:00,0.154312222,
23/05/2023 16:00,0.151051348,
23/05/2023 17:00,0.152742874,
23/05/2023 18:00,0.153762851,
23/05/2023 19:00,0.154081245,
23/05/2023 20:00,0.157088743,
23/05/2023 21:00,0.160801733,
23/05/2023 22:00,0.171977193,
