datetime,EVMOS
2023-05-19 12:00:00,0.1709596002
2023-05-19 13:00:00,0.1731419255
2023-05-19 14:00:00,0.1733760862
2023-05-19 15:00:00,0.1733646467
2023-05-19 16:00:00,0.1717623833
2023-05-19 17:00:00,0.1710624223
2023-05-19 18:00:00,0.1759022886
2023-05-19 19:00:00,0.1787756972
2023-05-19 20:00:00,0.1788187133
2023-05-19 21:00:00,0.1772425563
2023-05-19 22:00:00,0.1734723518
2023-05-19 23:00:00,0.1744567349
2023-05-20 00:00:00,0.1748397044
2023-05-20 01:00:00,0.1739101189
2023-05-20 02:00:00,0.1717773191
2023-05-20 03:00:00,0.1691486194
2023-05-20 04:00:00,0.169293576
2023-05-20 05:00:00,0.1696376519
2023-05-20 06:00:00,0.1700477641
2023-05-20 07:00:00,0.1693580569
2023-05-20 08:00:00,0.169144303
2023-05-20 09:00:00,0.1690080788
2023-05-20 10:00:00,0.1674256233
2023-05-20 11:00:00,0.1666841768
2023-05-20 12:00:00,0.1669450833
2023-05-20 13:00:00,0.1672180892
2023-05-20 14:00:00,0.1673789775
2023-05-20 15:00:00,0.1666742466
2023-05-20 16:00:00,0.1665403827
2023-05-20 17:00:00,0.1655659455
2023-05-20 18:00:00,0.1671616937
2023-05-20 19:00:00,0.1666967335
2023-05-20 20:00:00,0.1645170558
2023-05-20 21:00:00,0.1637560818
2023-05-20 22:00:00,0.162776961
2023-05-20 23:00:00,0.1624869274
2023-05-21 00:00:00,0.1619146977
2023-05-21 01:00:00,0.1622838201
2023-05-21 02:00:00,0.162583318
2023-05-21 03:00:00,0.1629506968
2023-05-21 04:00:00,0.1625290435
2023-05-21 05:00:00,0.1598806119
2023-05-21 06:00:00,0.1604024412
2023-05-21 07:00:00,0.1607548978
2023-05-21 08:00:00,0.1588849237
2023-05-21 09:00:00,0.1588919118
2023-05-21 10:00:00,0.1589895888
2023-05-21 11:00:00,0.1577157467
2023-05-21 12:00:00,0.156780499
2023-05-21 13:00:00,0.1566597584
2023-05-21 14:00:00,0.1563075175
2023-05-21 15:00:00,0.1547196806
2023-05-21 16:00:00,0.1541924763
2023-05-21 17:00:00,0.1518107894
2023-05-21 18:00:00,0.1520103816
2023-05-21 19:00:00,0.1519581022
2023-05-21 20:00:00,0.1480399033
2023-05-21 21:00:00,0.1479318372
2023-05-21 22:00:00,0.1465404345
2023-05-21 23:00:00,0.1421275296
2023-05-22 00:00:00,0.1428177504
2023-05-22 01:00:00,0.1420538526
2023-05-22 02:00:00,0.1421633722
2023-05-22 03:00:00,0.1428896161
2023-05-22 04:00:00,0.1427693293
2023-05-22 05:00:00,0.1424549829
2023-05-22 06:00:00,0.1445749362
2023-05-22 07:00:00,0.1431632495
2023-05-22 08:00:00,0.1439207387
2023-05-22 09:00:00,0.1472080493
2023-05-22 10:00:00,0.1457506954
2023-05-22 11:00:00,0.1454861252
2023-05-22 12:00:00,0.1459995201
2023-05-22 13:00:00,0.1440436761
2023-05-22 14:00:00,0.1442060496
2023-05-22 15:00:00,0.1486179939
2023-05-22 16:00:00,0.1463527209
2023-05-22 17:00:00,0.1453595404
2023-05-22 18:00:00,0.1463625261
2023-05-22 19:00:00,0.1424813828
2023-05-22 20:00:00,0.1423727703
2023-05-22 21:00:00,0.1408252266
2023-05-22 22:00:00,0.1398817571
2023-05-22 23:00:00,0.1375860137
2023-05-23 00:00:00,0.1359071449
2023-05-23 01:00:00,0.1356949246
2023-05-23 02:00:00,0.1356532498
2023-05-23 03:00:00,0.1365170933
2023-05-23 04:00:00,0.1355186213
2023-05-23 05:00:00,0.1403634847
2023-05-23 06:00:00,0.1443660186
2023-05-23 07:00:00,0.1450160542
2023-05-23 08:00:00,0.1430222398
2023-05-23 09:00:00,0.1464834638
2023-05-23 10:00:00,0.1462720852
2023-05-23 11:00:00,0.1460122827
2023-05-23 12:00:00,0.1449026599
2023-05-23 13:00:00,0.1460002274
2023-05-23 14:00:00,0.1473514692
2023-05-23 15:00:00,0.1501012004
2023-05-23 16:00:00,0.1473199418
